Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Flag - HSDir,Platform,Flag - Hibernating
sheepdip,FI,1123,146,91.145.82.111,91-145-82-111.bb.dnainternet.fi,443,80,0,0,1,0,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
sheikah,US,4515,942,198.50.196.138,sheikah.kegbeach.net,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on FreeBSD,0
shekhinah00,SG,1586,3120,128.199.222.114,128.199.222.114,443,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.1.6 on Linux,0
shelob,US,1913,653,38.109.217.107,38.109.217.107,9001,None,0,0,1,0,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
shelob,US,12972,649,23.129.64.225,23.129.64.225,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on FreeBSD,0
shenanigans,US,298,3553,71.39.169.105,phxdiesel.com,9001,9030,0,0,0,0,0,1,1,1,1,0,Tor 0.4.0.5 on OpenBSD,0
shermbot5000,US,3073,2306,107.150.23.186,107.150.23.186.static.quadranet.com,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.1.6 on Linux,0
shhop,FR,15132,1122,212.83.166.62,as12876.tor.shh.sh,443,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
shhovh,CA,6193,1116,198.50.191.95,tor.metaether.net,443,80,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
shiitake,FR,56147,2103,51.38.180.155,ns3119175.ip-51-38-180.eu,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.0.5 on Linux,0
ShinKanSen,US,7922,184,199.181.238.174,199.181.238.174,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on Linux,0
ShirinEbadi,FR,8636,181,51.89.23.74,74.ip-51-89-23.eu,444,81,0,1,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
shitbox,US,24298,296,76.72.171.41,76.72.171.41,9001,9030,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.6 on Linux,0
shM134x,AT,1373,5,90.146.25.135,cpe90-146-25-135.liwest.at,9001,9030,0,0,1,0,0,0,1,1,1,0,Tor 0.4.2.5 on Linux,0
Shockrealm,VN,2880,940,123.30.128.138,icech.moneyzdv24.com,443,80,0,1,1,0,0,1,1,1,1,1,Tor 0.4.1.5 on Linux,0
shokupanman566,JP,212,1549,27.120.90.181,v-27-120-90-181.ub-freebit.net,9001,9030,0,0,0,0,0,1,1,1,1,0,Tor 0.3.5.7 on Linux,0
shooop,FR,9713,240,51.75.175.22,ip22.ip-51-75-175.eu,9001,80,0,1,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
showpen,FI,524,826,88.115.61.255,88-115-61-255.elisa-laajakaista.fi,443,9030,0,0,1,0,0,1,1,1,1,1,Tor 0.3.5.8 on Linux,0
Shrdlu1,FR,14202,7,82.64.94.30,82-64-94-30.subs.proxad.net,9001,9030,0,0,1,1,0,1,1,1,1,0,Tor 0.4.2.6 on Linux,0
shrimpmaster,FR,8713,363,145.239.76.95,95.ip-145-239-76.eu,6969,7734,0,0,1,1,0,1,1,1,1,1,Tor 0.4.2.5 on Linux,0
ShrubberyGreen,US,448,326,69.250.241.88,c-69-250-241-88.hsd1.md.comcast.net,19001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.4.2.6 on FreeBSD,0
SicceggeOrion,FR,425,2109,195.154.133.113,orion.siccegge.de,9001,None,0,0,1,0,0,1,1,1,0,0,Tor 0.3.5.8 on Linux,0
sichermannac,DE,428,15,89.244.88.217,i59F458D9.versanet.de,9001,9030,0,0,1,0,0,0,1,1,1,0,Tor 0.4.2.6 on Linux,0
